company,job_title,city,country,lat_long,ticket,discount,age,gender,times,org_size,background,decision_making,influence
Mount Royal University,Assoc. Prof.,Calgary,Canada,"""51.048615,-114.070846""",Early-Bird Member,member133kx5w8,45-54,Female,1,101-300,Professional | Academic | Manager | Print | Independent News/Local | Publisher,No,Medium
CBC,Online Reporter,Edmonton,Canada,"""53.544389,-113.490927""",Almost There Member,member133kx5w8,25-34,Male,null,null,Professional | Entrepreneur/Start up  | Developer | Broadcast | Print | Independent News/Local,No,Low
CBC Edmonton,reporter/editor online,Edmonton,Canada,"""53.544389,-113.490927""",Getting Closer Member,member133kx5w8,45-54,Female,null,null,Professional,No,Low
Edmonton Journal,General News Intern Reporter,Edmonton,Canada,"""53.544389,-113.490927""",Student Non-Member,,18-24,Female,1,null,Student | Person of Color | Entry Level | Communications/Marketing  | Independent News/Local,No,None
Edmonton Journal,Digital news editor,Edmonton,Canada,"""53.544389,-113.490927""",Complimentary Registration,volunteer,45-54,Male,null,null,Print,No,Low
Grant MacEwan University,Full time Student,Edmonton,Canada,"""53.544389,-113.490927""",Student Non-Member,ona15-waitlist-student-nonmember,18-24,Female,1,11-25,Professional | Academic | Student | Entry Level | Communications/Marketing,No,None
MacEwan University,Student Journalist,Edmonton,Canada,"""53.544389,-113.490927""",Student Non-Member,,25-34,Male,1,501+,Student,No,None
MacEwan University,Student,Edmonton,Canada,"""53.544389,-113.490927""",Student Non-Member,,18-24,Female,1,null,Student | Person of Color | Print,No,None
MacEwan University,Associate Deam,Edmonton,Canada,"""53.544389,-113.490927""",Getting Closer Member,member133kx5w8,35-44,Male,null,null,Professional | Academic | Person of Color,Yes,null
MacEwan University,Student (Journalism degree),Edmonton,Canada,"""53.544389,-113.490927""",Student Non-Member,,18-24,Female,1,501+,Student | Entry Level | Broadcast | Print | Independent News/Local | Other,No,None
,Freelance writer,Edmonton,Canada,"""53.544389,-113.490927""",Student Non-Member,,18-24,Female,1,null,Student,Yes,null
Postmedia,Journalist/podcast host,Edmonton,Canada,"""53.544389,-113.490927""",Student Non-Member,ona15-waitlist-student-nonmember,18-24,Male,1,1-2,Professional | Entrepreneur/Start up  | Entry Level | Broadcast | Print | Independent News/Local,No,High
SAM,Head of newsroom partnerships & innovation,Edmonton,Canada,"""53.544389,-113.490927""",Complimentary Registration,speaker,25-34,Male,3,null,Professional | LGBT | Manager,No,Medium
SAM,CEO,Edmonton,Canada,"""53.544389,-113.490927""",Almost There Member,member133kx5w8,25-34,Male,1,3-10,Entrepreneur/Start up  | Executive,Yes,null
SAM,CTO,Edmonton,Canada,"""53.544389,-113.490927""",Almost There Member,member133kx5w8,25-34,Male,1,3-10,Entrepreneur/Start up  | Executive,Yes,null
Vue Weekly,Post Vue / Features Writer,Edmonton,Canada,"""53.544389,-113.490927""",Complimentary Registration,volunteer,18-24,Female,1,3-10,Professional,No,None
FactsandOpinions.com,Colimnist/Editor,Vancouver,Canada,"""49.282729,-123.120738""",Complimentary Registration,staff,55-64,Male,8-14,11-25,Professional,No,High
The Globe and Mail,Digital Editor,Vancouver,Canada,"""49.282729,-123.120738""",Complimentary Registration,volunteer,18-24,Male,null,null,Professional,No,None
UBC Graduate School of Journalism,Director,Vancouver,Canada,"""49.282729,-123.120738""",OJA Finalist ONA15 Registration + Banquet,oja-finalist,45-54,Male,4-7,3-10,Academic,Yes,null
University of British Columbia,Graduate Student,Vancouver,Canada,"""49.282729,-123.120738""",Student Member,member133kx5w8,35-44,Female,4-7,null,Student | Executive | Broadcast | Pure-Play Digital,No,None
University of British Columbia,"Assistant Professor, Digital Media and Global Affa",Vancouver,Canada,"""49.282729,-123.120738""",Complimentary Registration,speaker,35-44,Male,4-7,null,Academic,No,Low
Brandon Sun,Newsroom Developer,Brandon,Canada,"""49.848471,-99.95009""",Early-Bird Member,member133kx5w8,18-24,Male,1,11-25,Professional | Developer,No,Low
Bankless Times,Managing Editor,Winnipeg,Canada,"""49.899754,-97.137494""",Early-Bird Member,member133kx5w8,45-54,Male,1,3-10,Professional | Entrepreneur/Start up  | Executive | Print | Independent News/Local | Publisher,No,High
Winnipeg Free Press,Associate Editor Digital News,Winnipeg,Canada,"""49.899754,-97.137494""",Early-Bird Member,member133kx5w8,35-44,Female,4-7,301-500,Professional | Executive | Manager | Print | Independent News/Local,No,Medium
Reuters.com,Online Producer,Bedford,Canada,"""44.724663,-63.690852""",Getting Closer Member,member133kx5w8,35-44,Male,null,null,Professional,No,Low
"SportsDirect, Inc.",Senior Sales Manager,Halifax,Canada,"""44.648863,-63.57532""",Complimentary Registration,exhibitor-fullpass-withbanquet,35-44,Male,4-7,null,Manager,No,High
CBC North,Reporter,Yellowknife,Canada,"""62.453972,-114.371789""",Student Non-Member,,18-24,Male,1,null,Student | Broadcast,No,Low
Sheridan College,Journalism Professor/Coordinator,Oakville,Canada,"""43.467517,-79.687666""",OJA Finalist ONA15 Registration + Banquet,oja-finalist,45-54,Female,1,501+,Professional | Academic | Manager | Broadcast,No,High
Sheridan College,Professor,Oakville,Canada,"""43.467517,-79.687666""",OJA Finalist ONA15 Registration + Banquet,oja-finalist,35-44,Female,1,501+,Professional | Academic | Print,No,Low
Audience Engagement Editor,Audience Engagement Editor,Toronto,Canada,"""43.653226,-79.383184""",Early-Bird Member,member133kx5w8,35-44,Male,1,1-2,Professional | Academic | Director | Broadcast | Print | Pure-Play Digital | Independent News/Local | Publisher,No,None
Bell Media,"Sr. Director, Digital, CTV News & Entertainment",Toronto,Canada,"""43.653226,-79.383184""",Early-Bird Member,member133kx5w8,35-44,Female,1,null,Professional | Executive | Director,Yes,null
CBC,"Associate producer, Digital",Toronto,Canada,"""43.653226,-79.383184""",Early-Bird Member - Approved Late,approved-late-member133kx5w8,35-44,Female,null,null,Professional | Broadcast,No,Medium
CBC News,Executive Producer,Toronto,Canada,"""43.653226,-79.383184""",Getting Closer Member,member133kx5w8,35-44,Female,1,null,Professional,No,Medium
CBC News,"Senior Director, Digital Media",Toronto,Canada,"""43.653226,-79.383184""",Getting Closer Member,member133kx5w8,35-44,Female,null,null,Professional,No,High
CBC News,Editorial Web Developer,Toronto,Canada,"""43.653226,-79.383184""",Complimentary Registration,studentnewsroom-mentor,25-34,Male,null,null,Professional | Developer | Pure-Play Digital,No,Medium
DailyXtra.com / Pink Triangle Press,Publisher & Editor-in-chief,Toronto,Canada,"""43.653226,-79.383184""",Early-Bird Member,member133kx5w8,45-54,Male,1,26-100,Professional | LGBT | Nonprofit | Manager | Independent News/Local | Publisher,No,High
DEEP Inc.,CEO/Founder,Toronto,Canada,"""43.653226,-79.383184""",Complimentary Registration,speaker,45-54,Male,1,null,Professional | Entrepreneur/Start up  | Executive | Developer | Technologist | Broadcast,Yes,null
Global News,Managing Editor - Digital,Toronto,Canada,"""43.653226,-79.383184""",Early-Bird Member,member133kx5w8,45-54,Male,3,501+,Professional | Manager | Broadcast | Pure-Play Digital,No,High
Global News/ Shaw Media,"manager, digital products",Toronto,Canada,"""43.653226,-79.383184""",Early-Bird Member,member133kx5w8,35-44,Male,4-7,501+,Professional | Manager | Technologist | Broadcast,Yes,null
Huffington Post Canada,Community Manager,Toronto,Canada,"""43.653226,-79.383184""",Early-Bird Member,member133kx5w8,25-34,Male,4-7,101-300,Manager,No,Medium
Humber College,Journalism Student,Toronto,Canada,"""43.653226,-79.383184""",Complimentary Registration,studentnewsroom-student,25-34,Female,1,null,Student | Person of Color | Broadcast,No,Low
INVSTG8.NET,Journalist | Founder,Toronto,Canada,"""43.653226,-79.383184""",Getting Closer Member,member133kx5w8,35-44,Male,null,null,Professional | Person of Color | Entrepreneur/Start up  | Nonprofit | Executive | Manager | Pure-Play Digital | Independent News/Local | Publisher,Yes,null
Maclean's,Managing Editor,Toronto,Canada,"""43.653226,-79.383184""",Almost There Member,member133kx5w8,45-54,Female,2,26-100,Professional | Manager,No,High
Maclean's,"Associate editor, online",Toronto,Canada,"""43.653226,-79.383184""",Complimentary Registration,volunteer-social-team,25-34,Female,null,null,Other,No,Medium
Maclean's Magazine,Digital editor,Toronto,Canada,"""43.653226,-79.383184""",Complimentary Registration,volunteer-social-team,25-34,Male,null,null,Professional | Person of Color,No,Low
Marketwired,Digital Media Specialist,Toronto,Canada,"""43.653226,-79.383184""",Complimentary Registration,ona-diamond,25-34,Female,1,null,Entry Level,No,Low
Marketwired,Media Relations Specialist,Toronto,Canada,"""43.653226,-79.383184""",Complimentary Registration,ona-diamond,25-34,Female,1,301-500,Professional | Academic | Student | Person of Color | LGBT | Entrepreneur/Start up  | Nonprofit | Executive | Director | Manager | Entry Level | Developer | Technologist | Broadcast | Print | Pure-Play Digital | Communications/Marketing  | Independent News/Local | Vendor | Publisher,No,Low
Marketwired,"VP, Global Partners and Media Solutions",Toronto,Canada,"""43.653226,-79.383184""",Complimentary Registration,ona-diamond,45-54,Female,4-7,null,Executive,No,Medium
Newzulu,Chief Technology Evangelist,Toronto,Canada,"""43.653226,-79.383184""",Complimentary Registration,exhibitor-fullpass-withbanquet,35-44,Male,2,26-100,Technologist,No,High
Pink Triangle Press,Managing Editor,Toronto,Canada,"""43.653226,-79.383184""",Early-Bird Member,member133kx5w8,25-34,Male,1,26-100,Professional | Person of Color | LGBT | Nonprofit | Manager | Independent News/Local | Publisher,No,Low
Scribble Technologies Inc.,Founder,Toronto,Canada,"""43.653226,-79.383184""",Early-Bird Member,member133kx5w8,45-54,Male,4-7,101-300,Professional,Yes,null
ScribbleLive,"VP Sales, North America",Toronto,Canada,"""43.653226,-79.383184""",Complimentary Registration,exhibitor-fullpass-withbanquet,35-44,Male,1,null,Professional | Vendor,Yes,null
ScribbleLive,Senior Account Executive,Toronto,Canada,"""43.653226,-79.383184""",Complimentary Registration,exhibitor-fullpass-withbanquet,25-34,Male,1,null,Professional | Vendor,No,High
The Canadian Journalism Foundation (CJF),Executive Director,Toronto,Canada,"""43.653226,-79.383184""",Early-Bird Member,member133kx5w8,35-44,Female,1,3-10,Professional | Nonprofit | Executive | Director,Yes,null
The Canadian Press,Senior Digital Producer,Toronto,Canada,"""43.653226,-79.383184""",Early-Bird Member,member133kx5w8,35-44,Female,2,null,Broadcast | Print | Pure-Play Digital | Publisher,No,Medium
The Canadian Press,"Vice President, Digital",Toronto,Canada,"""43.653226,-79.383184""",OJA Finalist ONA15 Registration + Banquet,oja-finalist,45-54,Male,3,101-300,Professional | Executive | Broadcast | Print | Pure-Play Digital,No,High
The Canadian Press,Digital Graphics Producer,Toronto,Canada,"""43.653226,-79.383184""",Early-Bird Member,member133kx5w8,25-34,Male,3,101-300,Professional | Technologist,No,High
The Canadian Press,Graphic Designer,Toronto,Canada,"""43.653226,-79.383184""",Early-Bird Member,member133kx5w8,35-44,Male,1,101-300,Professional,No,High
The Globe and Mail,Graphics designer,Toronto,Canada,"""43.653226,-79.383184""",Early-Bird Member - Group,,25-34,Male,1,null,Professional,No,Low
The Globe and Mail,Senior video production editor,Toronto,Canada,"""43.653226,-79.383184""",Early-Bird Member - Group,,35-44,Male,1,null,Professional,No,Medium
The Globe and Mail,"Senior Editor, Mobile & Interactive News",Toronto,Canada,"""43.653226,-79.383184""",Early-Bird Member - Group,,35-44,Male,4-7,null,Professional,No,Low
The Globe and Mail,"Deputy Editor, Comment",Toronto,Canada,"""43.653226,-79.383184""",Early-Bird Member - Group,,25-34,Male,1,null,Professional,No,Low
The Globe and Mail,"Assistant Editor, British Columbia",Toronto,Canada,"""43.653226,-79.383184""",Early-Bird Member - Group,,25-34,Female,1,null,Professional,No,Low
The Globe and Mail,Personal Finance Editor,Toronto,Canada,"""43.653226,-79.383184""",Early-Bird Member - Group,,35-44,Female,1,null,Professional,No,Low
The Globe and Mail,Executive Producer,Toronto,Canada,"""43.653226,-79.383184""",Complimentary Registration,speaker,35-44,Female,4-7,null,Professional | Director,No,Medium
The Globe and Mail,"Managing Editor, Report on Business Magazine",Toronto,Canada,"""43.653226,-79.383184""",Early-Bird Member - Group,,45-54,Female,1,null,Professional,No,Low
The Globe and Mail,"Senior Editor, Audience Engagement",Toronto,Canada,"""43.653226,-79.383184""",Early-Bird Member - Group,,35-44,Female,1,null,Professional,No,Low
The Globe and Mail,Senior Social Media and Community Editor,Toronto,Canada,"""43.653226,-79.383184""",Early-Bird Member - Group,,35-44,Female,1,null,Professional,No,Low
The Globe and Mail,"Digital Editor, Video",Toronto,Canada,"""43.653226,-79.383184""",Complimentary Registration,volunteer,25-34,Female,null,null,Professional,No,None
The Globe and Mail,Digital Content Editor,Toronto,Canada,"""43.653226,-79.383184""",Complimentary Registration,studentnewsroom-mentor,35-44,Male,null,null,Professional,No,None
The Globe and Mail,Head of Audience,Toronto,Canada,"""43.653226,-79.383184""",Early-Bird Member - Group,,35-44,Female,1,null,Professional,No,Medium
The Toronto Star,Lead Digital Designer,Toronto,Canada,"""43.653226,-79.383184""",Almost There Member,member133kx5w8,25-34,Male,1,101-300,Professional | Developer,No,Low
Toronto Star,Public Editor,Toronto,Canada,"""43.653226,-79.383184""",Early-Bird Member,member133kx5w8,55-64,Female,1,301-500,Executive | Manager | Print,No,Low
Toronto Star,Digital Editor,Toronto,Canada,"""43.653226,-79.383184""",Almost There Member,member133kx5w8,35-44,Female,3,501+,Professional | Director | Manager | Developer | Broadcast | Print | Pure-Play Digital | Vendor | Publisher,Yes,null
"Twitter, Inc.",News partnerships,Toronto,Canada,"""43.653226,-79.383184""",Getting Closer Member,,35-44,Male,1,501+,Professional,No,Low
University of Toronto,Editor,Toronto,Canada,"""43.653226,-79.383184""",Early-Bird Member,member133kx5w8,45-54,Female,1,501+,Academic | Nonprofit | Communications/Marketing,No,Low
Viafoura Inc.,"Co-Founder, Vice President Client Success",Toronto,Canada,"""43.653226,-79.383184""",Complimentary Registration,midway-only,35-44,Male,1,11-25,Professional | Person of Color | Entrepreneur/Start up  | Executive | Vendor,Yes,null
Viafoura Inc.,Director of Marketing,Toronto,Canada,"""43.653226,-79.383184""",Complimentary Registration,midway-only,35-44,Male,1,11-25,Professional | Person of Color | Entrepreneur/Start up  | Executive | Director | Communications/Marketing  | Vendor,No,High
Viafoura Inc.,Product Manager,Toronto,Canada,"""43.653226,-79.383184""",Midway-Only Additional Pass,midway-only-additionalpass,25-34,Male,1,11-25,Professional | Entrepreneur/Start up  | Executive | Pure-Play Digital | Vendor | Publisher,No,High
Viafoura Inc.,"Founder, CEO",Toronto,Canada,"""43.653226,-79.383184""",Complimentary Registration,midway-fullpass,35-44,Male,1,11-25,Professional | Person of Color | Entrepreneur/Start up  | Executive | Vendor,Yes,null
Viafoura Inc.,Vice President of Operations,Toronto,Canada,"""43.653226,-79.383184""",Midway-Only Additional Pass,midway-only-additionalpass,35-44,Male,1,11-25,Professional | Entrepreneur/Start up  | Executive | Pure-Play Digital | Vendor | Publisher,No,High
Yahoo Canada,Sports Editor,Toronto,Canada,"""43.653226,-79.383184""",Getting Closer Member,member133kx5w8,25-34,Male,null,null,Professional,No,Medium
Yahoo Canada,"Editor, News and Finance",Toronto,Canada,"""43.653226,-79.383184""",Getting Closer Member,member133kx5w8,25-34,Male,null,null,Professional,No,Medium
Yahoo Canada,"Senior Editor, Features and Front Page",Toronto,Canada,"""43.653226,-79.383184""",Getting Closer Member,member133kx5w8,25-34,Female,null,null,Professional | Person of Color,No,Low
Yahoo!,Senior Editor,Toronto,Canada,"""43.653226,-79.383184""",Getting Closer Member,member133kx5w8,35-44,Male,null,null,Professional,No,High
Montreal Gazette,Assignment editor,Montréal,Canada,"""45.501689,-73.567256""",Early-Bird Member,member133kx5w8,45-54,Female,1,101-300,Professional | Print,No,None
Montreal Gazette,Digital editor,Montréal,Canada,"""45.501689,-73.567256""",Early-Bird Member,member133kx5w8,35-44,Female,2,301-500,Professional | LGBT | Print,No,Low
Montreal Gazette,Managing editor,Montréal,Canada,"""45.501689,-73.567256""",Early-Bird Member,member133kx5w8,25-34,Female,1,26-100,Professional,Yes,null
Radio-Canada/CBC,"Director, Digital News",Montréal,Canada,"""45.501689,-73.567256""",Almost There Member,member133kx5w8,45-54,Male,4-7,501+,Professional | Executive | Manager | Broadcast | Independent News/Local,No,High
Radio-Canada,Senior director news RDI,Montréal,Canada,"""45.501689,-73.567256""",Almost There Member,member133kx5w8,55-64,Female,1,null,Director,Yes,null
SRF,Head of Online,Zurich,Switzerland,"""47.376887,8.541694""",Early-Bird Member,member133kx5w8,55-64,Male,4-7,501+,Professional | Executive | Broadcast,No,High
All China Tech,Writer,Beijing,China,"""39.904211,116.407395""",Complimentary Registration,volunteer-video-team,25-34,Female,null,null,Professional | Person of Color | Entrepreneur/Start up,No,Low
Cheetah Mobile,"VP, Global Content Product & Experience",Beijing,China,"""39.904211,116.407395""",Almost There Non-Member,,35-44,Female,1,501+,Professional | Person of Color | Executive | Pure-Play Digital,No,High
"Twitter, Inc.",Media Partnerships Colombia,Bogota,Colombia,"""4.710989,-74.072092""",Getting Closer Member,,35-44,Female,1,null,Professional,No,Low
"Twitter, Inc.",Media Partnerships Colombia,Bogota,Colombia,"""4.710989,-74.072092""",Getting Closer Member,,35-44,Male,1,null,Professional,No,Low
EL TIEMPO,Digital content manager,Bogota,Colombia,"""4.710989,-74.072092""",Early-Bird Non-Member,,35-44,Male,1,501+,Professional | Manager,No,High
AmeliaRueda.com,Reporter,San José,Costa Rica,"""9.928069,-84.090725""",Getting Closer Member,member133kx5w8,25-34,Male,null,null,Professional,No,Medium
The Tico Times,Managing Editor,San José,Costa Rica,"""9.928069,-84.090725""",Getting Closer Member,member133kx5w8,35-44,Female,null,null,Professional | Manager | Print | Independent News/Local,No,Medium
ameliarueda.com,Executive Editor,San José,Costa Rica,"""9.928069,-84.090725""",Getting Closer Member,member133kx5w8,35-44,Male,null,null,Professional | Manager,Yes,null
Sourcefabric,Co-founder and Director of Innovation,Prague,Czech Republic,"""50.075538,14.4378""",Complimentary Registration,midway-only,45-54,Male,2,26-100,Professional | Person of Color | Entrepreneur/Start up  | Nonprofit | Executive | Director | Developer | Technologist | Broadcast | Print | Pure-Play Digital | Vendor | Other,Yes,null
Radio Free Europe/Radio Liberty,"Manager, LibertyNet",Prague,Czech Republic,"""50.075538,14.4378""",Getting Closer Member,member133kx5w8,35-44,Female,null,null,Professional,No,Medium
WELTN24 GmbH / Axel Springer,General Manager Digital,Berlin,Germany,"""52.520007,13.404954""",Almost There Non-Member,ona15-waitlist-nonmember,45-54,Male,1,501+,Professional | Director | Manager | Print | Pure-Play Digital | Publisher,No,High
ZEIT ONLINE GmbH,Head of R&D,Berlin,Germany,"""52.520007,13.404954""",Early-Bird Member,member133kx5w8,35-44,Male,1,301-500,Professional,No,Medium
Desk-Net GmbH,CEO & Founder,Hamburg,Germany,"""53.551085,9.993682""",Complimentary Registration,exhibitor-fullpass-withbanquet,35-44,Male,2,11-25,Entrepreneur/Start up,Yes,null
Desk-Net GmbH,Customer Relations Manager,Hamburg,Germany,"""53.551085,9.993682""",Almost There Member,member133kx5w8,25-34,Female,1,11-25,Manager,No,High
Berliner Zeitung,Head of Department,Berlin,Germany,"""52.520007,13.404954""",Almost-There Member - Group,,35-44,Male,null,null,Professional,No,High
Edenspiekermann AG,Partner,Berlin,Germany,"""52.520007,13.404954""",Getting Closer Member,member133kx5w8,35-44,Male,null,null,Professional | Academic | Manager | Communications/Marketing,Yes,null
ZEIT ONLINE,deputy editor-in-chief,Berlin,Germany,"""52.520007,13.404954""",Getting Closer Member,member133kx5w8,25-34,Male,null,null,Professional,No,High
Desk-Net GmbH,International Account Manager,Hamburg,Germany,"""53.551085,9.993682""",Almost There Member,member133kx5w8,25-34,Male,1,11-25,Professional | Vendor,No,None
Danish Broadcasting Corp.,Anchor/reporter,Copenhagen,Denmark,"""55.676097,12.568337""",Almost There Non-Member,,35-44,Male,1,501+,Professional | Broadcast,No,None
Danish Broadcasting Corporation,Editor / journalist,Copenhagen,Denmark,"""55.676097,12.568337""",Getting-Closer Non-Member,,25-34,Male,null,null,Manager | Broadcast,No,Medium
DR - Danish Broadcasting,Head of dr.dk,Copenhagen,Denmark,"""55.676097,12.568337""",Almost There Non-Member,,45-54,Male,null,null,Professional | Manager | Publisher,Yes,null
DR - Danish Broadcasting,Commision Editor,Copenhagen,Denmark,"""55.676097,12.568337""",Almost There Non-Member,,35-44,Male,null,null,Professional | Manager | Developer | Broadcast,Yes,null
TV 2,Journalist,Copenhagen,Denmark,"""55.676097,12.568337""",Almost There Non-Member,,25-34,Male,1,501+,Professional,No,High
TV 2,"Developer, team lead",Copenhagen,Denmark,"""55.676097,12.568337""",Almost There Non-Member,,25-34,Male,1,501+,Professional,No,High
Danish Broadcasting Corporation,News Editor,Copenhagen ,Denmark,"""55.676097,12.568337""",Almost There Member,member133kx5w8,35-44,Male,1,501+,Broadcast,No,Medium
Danish Broadcasting Corporation,Web Editor,Copenhagen ,Denmark,"""55.676097,12.568337""",Early-Bird Member,member133kx5w8,45-54,Female,1,501+,Professional | Broadcast | Independent News/Local,No,Low
Politiken,"Digital editor, arts & culture",Copenhagen ,Denmark,"""55.676097,12.568337""",Early-Bird Member,member133kx5w8,35-44,Female,2,101-300,Professional | Academic | Print,No,Low
Berlingske,Social Media Manager,Frederiksberg ,Denmark,"""55.677069,12.513321""",Almost There Member,member133kx5w8,25-34,Female,1,501+,Professional,No,Medium
Danish Broadcasting Corporation,"Editor, Radio Documentary",Copenhagen,Denmark,"""55.676097,12.568337""",Early-Bird Member,member133kx5w8,45-54,Male,1,501+,Professional | Nonprofit | Manager,No,Low
DR - Danish Broadcasting,Commissioning Editor,København ,Denmark,"""55.676097,12.568337""",Almost There Non-Member,,35-44,Male,1,11-25,Broadcast,No,High
San Francisco de Quito University,Multimedia Journalism Coordinator,Quito,Ecuador,"""-0.180653,-78.467838""",Getting Closer Member,member133kx5w8,55-64,Male,null,null,Professional | Academic | Broadcast | Print | Independent News/Local,No,High
Ohtuleht.ee,Head of Online,Tallinn,Estonia,"""59.436961,24.753575""",Early-Bird Member - Group,,35-44,Male,1,null,Professional,No,High
Tallinn Science Park Tehnopol,Community and Program Manager,Tallinn,Estonia,"""59.436961,24.753575""",Early-Bird Member - Group,,35-44,Female,1,null,Professional,No,Medium
"Twitter, Inc.",News& Fashion partnerships manager,Madrid,Spain,"""40.416775,-3.70379'",Getting Closer Member,,25-34,Female,1,null,Professional,No,Low
Vocento,Innovation Director,Madrid,Spain,"""40.416775,-3.70379'",Getting Closer Member,member133kx5w8,35-44,Male,null,null,Director,No,Medium
EL MUNDO,Journalist,Madrid,Spain,"""40.416775,-3.70379'",Almost There Member,member133kx5w8,25-34,Female,1,501+,Professional,No,Medium
MTV Oy,Managing Editor,Helsinki,Finland,"""60.173324,24.941025""",Early-Bird Member,member133kx5w8,45-54,Male,1,301-500,Professional | Manager | Broadcast,No,High
Svenska Yle,Head of online,Helsinki,Finland,"""60.173324,24.941025""",Early-Bird Member,member133kx5w8,45-54,Male,1,301-500,Professional | Nonprofit | Manager | Technologist | Broadcast,No,High
Yle,Producer,Helsinki,Finland,"""60.173324,24.941025""",Early-Bird Member,member133kx5w8,35-44,Male,1,501+,Professional | Manager,No,High
Yle,journalist,Helsinki,Finland,"""60.173324,24.941025""",Early-Bird Member,member133kx5w8,35-44,Female,1,501+,Professional | Broadcast,No,Medium
